Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Abertawe,Bonymaen Library,Bonymaen Community Centre,Bonymaen Road,Bonymaen,SA1 7AW,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.swansea.gov.uk/bonymaenlibrary?contactid=2158,mailto:bonymaen@swansea.gov.uk
Abertawe,Brynhyfryd Library,Llangyfelach Road,Brynhyfryd,Swansea,SA5 9LH,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.swansea.gov.uk/brynhyfrydlibrary?contactid=2158,mailto:brynhyfryd.library@swansea.gov.uk
Abertawe,Clydach Library,High Street,Clydach,Swansea,SA6 5LN,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.swansea.gov.uk/clydachlibrary?contactid=2158,mailto:clydach.library@swansea.gov.uk
Abertawe,Fforestfach Library,Kings Head Road,Gendros,Swansea,SA5 8DA,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.swansea.gov.uk/fforestfachlibrary?contactid=2158,mailto:fforestfach.library@swansea.gov.uk
Abertawe,Gorseinon Library,15 West Street,Gorseinon,Swansea,SA4 4AA,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.swansea.gov.uk/gorseinonlibrary?contactid=2158,mailto:gorseinon.library@swansea.gov.uk
Abertawe,Gowerton Library,Mansel Street,Gowerton,Swansea,SA4 3BU,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.swansea.gov.uk/gowertonlibrary?contactid=2158,mailto:gowerton.library@swansea.gov.uk
Abertawe,Killay Library,St Hillary's Church Hall,Gower Road,Swansea,SA2 7QS,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.swansea.gov.uk/killaylibrary?contactid=2158,mailto:killay.library@swansea.gov.uk
Abertawe,Llansamlet Library,242 Peniel Green Road,Llansamlet,Swansea,SA7 9BD,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.swansea.gov.uk/llansamletlibrary?contactid=2158,
Abertawe,Morriston Library,Treharne Road,Morriston,Swansea,SA6 7AA,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.swansea.gov.uk/morristonlibrary?contactid=2158,mailto:morriston.library@swansea.gov.uk
Abertawe,Oystermouth Library,Dunns Lane,Mumbles,Swansea,SA3 4AA,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.swansea.gov.uk/oystermouthlibrary,mailto:oystermouth.library@swansea.gov.uk
Abertawe,Penlan Library,Heol Frank,Penlan,Swansea,SA5 7AH,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.swansea.gov.uk/penlanlibrary?contactid=2158,mailto:penlan.library@swansea.gov.uk
Abertawe,Pennard Library,Pennard Road,Southgate,Pennard,SA3 2AD,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.swansea.gov.uk/pennardlibrary?contactid=2158,mailto:pennard.library@swansea.gov.uk
Abertawe,Pontarddulais Library,St Michaels Avenue,Pontarddulais,Swansea,SA4 8TE,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.swansea.gov.uk/pontarddulaislibrary?contactid=2158,mailto:pontarddulais.library@swansea.gov.uk
Abertawe,Sketty Library,Vivian Road,Sketty,Swansea,SA2 0UN,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.swansea.gov.uk/skettylibrary?contactid=2158,
Abertawe,St Thomas Library,Grenfell Park Road,St Thomas,Swansea,SA1 8EZ,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.swansea.gov.uk/stthomaslibrary?contactid=2158,mailto:st.thomas.library@swansea.gov.uk
Abertawe,Swansea Central Library,Civic Centre,Oystermouth Road,Swansea,SA1 3SN,10092011969,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.swansea.gov.uk/centrallibrary?contactid=2158,mailto:libraryline@swansea.gov.uk
Abertawe,Townhill Library,Phoenix Centre,Paradise Park,Townhill,SA1 6PH,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.swansea.gov.uk/townhilllibrary?contactid=2158,mailto:townhill.library@swansea.gov.uk
