Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Co-located,Co-located with,Notes,URL,Email address
Ealing,Acton Town Hall Library,"Everyone Active Acton Centre, High Street",Acton,Middlesex,W3 6NE,,Yes,LAL,,,10:00-17:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-17:00,10:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Everyone Active,,,actonlibrary@ealing.gov.uk
Ealing,Ealing Central Library,"103 Ealing Broadway Centre, The Broadway",London,Middlesex,W5 5JY,,Yes,LAL,,,10:00-17:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-17:00,10:00-17:00,13:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,centrallibrary@ealing.gov.uk
Ealing,Greenford Library,Oldfield Lane South,Greenford,Middlesex,UB6 9LG,12001186,Yes,LAL,,,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,greenfordlibrary@ealing.gov.uk
Ealing,Hanwell Library,Cherington Road,London,Middlesex,W7 3HL,,Yes,CRL,,,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,hanwelllibrary@ealing.gov.uk
Ealing,Jubilee Gardens Library,"Jubilee Gardens Health Centre, Jubilee Gardens",Southall,Middlesex,UB1 2TJ,,Yes,LAL,,,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Community health Partnerships,,,jubileegardenslibrary@ealing.gov.uk
Ealing,Northfields Library,Northfield Avenue,London,Middlesex,W5 4UA,,Yes,CRL,,,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,northfieldslibrary@ealing.gov.uk
Ealing,Northolt Leisure Centre Library,"Northolt Leisure Centre, Eastcote Lane North",Northolt,Middlesex,UB5 4AB,,Yes,LAL,,,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Everyone Active,,,northoltleisurelibrary@ealing.gov.uk
Ealing,Northolt Library,Church Road,Northolt,Middlesex,UB5 5AS,,Yes,LAL,,,10:00-17:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-17:00,10:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,northoltlibrary@ealing.gov.uk
Ealing,Perivale Library,Horsenden Lane South,Greenford,Middlesex,UB6 7NT,,Yes,CRL,,,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,perivalelibrary@ealing.gov.uk
Ealing,Pitshanger Library,143-145 Pitshanger Lane,London,Middlesex,W5 1RH,,Yes,CRL,,,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,pitshangerlibrary@ealing.gov.uk
Ealing,Southall Library (Dominion Centre & Library),112 The Green,Southall,Middlesex,UB2 4BQ,,Yes,LAL,,,10:00-17:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-17:00,10:00-17:00,13:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Dominion Centre and Library,,,southalllibrary@ealing.gov.uk
Ealing,West Ealing Library,Melbourne Avenue,London,Middlesex,W13 9BT,,Yes,CRL,,,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,westealinglibrary@ealing.gov.uk
Ealing,Wood End Library,Whitton Avenue West,Greenford,Middlesex,UB6 0EE,,Yes,LAL,,,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Children's Centre,,,woodendlibrary@ealing.gov.uk
