Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Surrey County Council,Addlestone,"Runnymede Civic Centre, Station Road ",Addlestone,Surrey,KT15 2AF,10002019806,Yes,LAL,2008,,,09:30-17:00,09:30-17:00,09:30-17:00,09:30-17:00,09:30-17:00,,,,,,,,,,Yes,Civic Centre Services,,https://www.surreycc.gov.uk/libraries/your-library/find-your-nearest/addlestone,addlestone.library@surreycc.gov.uk
Surrey County Council,Ash,Ash Street ,Ash,Surrey,GU12 6LF,100062324507,Yes,LAL,1961,,14:00-17:00,10:00-17:00,,10:00-17:00,10:00-17:00,10:00-16:00,,,,,,,,,,No,,Closed 1-2pm Tue/Thu/Fri,https://www.surreycc.gov.uk/libraries/your-library/find-your-nearest/ash,ash.library@surreycc.gov.uk
Surrey County Council,Ashford,Church Road ,Ashford,Surrey,TW15 2XB,33037113,Yes,LAL,1962,,,09:30-17:00,09:30-17:00,09:30-17:00,09:30-17:00,09:30-17:00,,,,,,,,,,No,,,https://www.surreycc.gov.uk/libraries/your-library/find-your-nearest/ashford,ashford.library@surreycc.gov.uk
Surrey County Council,Ashtead,Woodfield Lane,Ashtead,Surrey,KT21 2BQ,100062369017,Yes,LAL,1974,,10:00-17:00,10:00-17:00,,10:00-17:00,10:00-17:00,09:30-17:00,,,,,,,,,,Yes,Shared entrance with Doctors Surgery,Closed 1-2pm Mon/Tue/Thu/Fri.,https://www.surreycc.gov.uk/libraries/your-library/find-your-nearest/ashtead,ashtead.library@surreycc.gov.uk
Surrey County Council,Bagshot,63 High Street ,Bagshot,Surrey,GU19 5AH,100062330742,Yes,CRL,1966,,14:00-17:00,14:00-17:00,14:00-17:00,10:00-13:00,14:00-17:00,10:00-13:00,,,,,,,,,,No,,,https://www.surreycc.gov.uk/libraries/your-library/find-your-nearest/bagshot-village,bvcl.teamleaders@outlook.com 
Surrey County Council,Banstead,The Horseshoe ,Banstead,Surrey,SM7 2AW,68130174,Yes,LAL,1945,,,09:30-17:00,09:30-17:00,09:30-17:00,09:30-17:00,09:30-17:00,,,,,,,,,,No,,Refurbishment and new windows in 2014,https://www.surreycc.gov.uk/libraries/your-library/find-your-nearest/banstead,banstead.library@surreycc.gov.uk
Surrey County Council,Beare Green Community Link,Beare Green Village Hall,Merebank Dorking,Surrey,RH5 4RD,100062495213,No,ICL,2013,2022,13:00-14:30,,13:00-14:30,,10:00-11:30,,,,,,,,,,,No,Village Hall,,,linkbg@outlook.com
Surrey County Council,Bookham,Townshott Close ,Great Bookham,Surrey,KT23 4DQ,200000160425,Yes,LAL,1956,,10:00-17:00,10:00-17:00,,10:00-17:00,10:00-17:00,09:30-17:00,,,,,,,,,,No,,Closed 1-2pm Mon/Tue/Thu/Fri.,https://www.surreycc.gov.uk/libraries/your-library/find-your-nearest/bookham,bookham.library@surreycc.gov.uk
Surrey County Council,Bramley,High Street ,Bramley,Surrey,GU5 0HG,100062349887,Yes,CRL,1966,,,10:00-17:00,,14:00-17:00,10:00-17:00,10:00-16:00,,,,,,,,,,No,,,https://www.surreycc.gov.uk/libraries/your-library/find-your-nearest/bramley,bramleylibrary@gmail.com
Surrey County Council,Byfleet,High Road,Byfleet,Surrey,KT14 7QN,100062608249,Yes,CRL,1957,,,10:00-16:00,18:00-20:00,15:00-17:00,10:00-16:00,10:00-16:00,14:00-16:00,,,,,,,,,No,,,https://www.surreycc.gov.uk/libraries/your-library/find-your-nearest/byfleet,byfleetcommunitylibrary@gmail.com
