Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Plymouth City Council,Crownhill Library,Cross Park Road,Plymouth,Devon,PL6 5AN,,No,LAL,,,08:30-18:00,08:30-18:00,08:30-18:00,08:30-20:00,08:30-18:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.plymouth.gov.uk/libraries,libraries@plymouth.gov.uk
Plymouth City Council,Devonport Library,Chapel Street,Plymouth,Devon,PL1 4DP,,No,LAL,,,08:30-18:00,08:30-18:00,08:30-18:00,14:00-20:00,08:30-18:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.plymouth.gov.uk/libraries,libraries@plymouth.gov.uk
Plymouth City Council,Efford Library,19 Torridge Way,Plymouth,Devon,PL3 6JQ,,No,LAL,,,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.plymouth.gov.uk/libraries,libraries@plymouth.gov.uk
Plymouth City Council,Eggbuckland Library,"Eggbuckland College, Westcott Close",Plymouth,Devon,PL6 5YB,,Yes,LAL,,2017,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed 16 September 2017,,
Plymouth City Council,Ernesettle Library,3 Hornchurch Road,Plymouth,Devon,PL5 2TQ,,Yes,LAL,,2017,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed 16 September 2017,,
Plymouth City Council,Estover Library,"Tor Bridge High School, Miller Way",Plymouth,Devon,PL6 8UN,,No,LAL,,,09:30-17:00,09:30-17:00,00:00-00:00,09:30-17:00,09:30-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.plymouth.gov.uk/libraries,libraries@plymouth.gov.uk
Plymouth City Council,Laira Library,240 Old Laira Road,Plymouth,Devon,PL3 6AF,,Yes,LAL,,2017,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed 16 September 2017,,
Plymouth City Council,North Prospect Library,"The Beacon, 163 North Prospect Road",Plymouth,Devon,PL2 2ND,,No,LAL,,,09:00-17:00,14:00-17:00,09:00-17:00,14:00-17:00,09:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.plymouth.gov.uk/libraries,libraries@plymouth.gov.uk
Plymouth City Council,Peverell Library,242A Peverell Park Road,Plymouth,Devon,PL3 4QF,,No,LAL,,,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.plymouth.gov.uk/libraries,libraries@plymouth.gov.uk
Plymouth City Council,Plymouth Central Library,167 - 171 Armada Way,Plymouth,Devon,PL1 1HZ,,Yes,LAL,,,08:30-18:00,08:30-18:00,08:30-18:00,08:30-20:00,08:30-18:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.plymouth.gov.uk/libraries,libraries@plymouth.gov.uk
Plymouth City Council,Plympton Library,Harewood,Plymouth,Devon,PL7 2AS,,Yes,LAL,,,08:30-18:00,08:30-18:00,08:30-18:00,08:30-20:00,08:30-18:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.plymouth.gov.uk/libraries,libraries@plymouth.gov.uk
Plymouth City Council,Plymstock Library,Horn Cross Road,Plymouth,Devon,PL9 9BU,,Yes,LAL,,,08:30-18:00,08:30-18:00,08:30-18:00,08:30-20:00,08:30-18:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.plymouth.gov.uk/libraries,libraries@plymouth.gov.uk
Plymouth City Council,Southway Library,351 Southway Drive,Plymouth,Devon,PL6 6QR,,Yes,LAL,,,08:30-18:00,08:30-18:00,08:30-18:00,08:30-20:00,08:30-18:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.plymouth.gov.uk/libraries,libraries@plymouth.gov.uk
Plymouth City Council,St Budeaux Library,"The Square, Victoria Road",Plymouth,Devon,PL5 1RQ,,Yes,LAL,,,08:30-18:00,08:30-18:00,08:30-18:00,08:30-20:00,08:30-18:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Old St Budeaux closed 4 August 2018. New St Budeaux opened 27 January 2020,https://www.plymouth.gov.uk/libraries,libraries@plymouth.gov.uk
Plymouth City Council,Stoke Library,21 Albert Road,Plymouth,Devon,PL2 1AB,,Yes,LAL,,2017,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed 16 September 2017,,
Plymouth City Council,Tothill Library,"Tothill Community Centre, Knighton Road",Plymouth,Devon,PL4 9DA,,Yes,LAL,,2017,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed 16 September 2017,,
Plymouth City Council,West Park Library,423 - 425 Crownhill Road,Plymouth,Devon,PL5 2LJ,,Yes,LAL,,2019,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed 24 September 2019,,
